date,status,temperature,wind,status_day,status_night,temp_day,temp_night,wind_day,wind_night,wind_dir_day,wind_force_day,wind_dir_night,wind_force_night
2013年01月22日,多云 /多云,5℃ / -2℃,北风 3-4级 /北风 3-4级,多云,多云,5,-2,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年01月23日,多云 /多云,6℃ / 0℃,西风 3-4级 /西南风 3-4级,多云,多云,6,0,西风 3-4级,西南风 3-4级,西风,3-4级,西南风,3-4级
2013年01月24日,多云 /晴,6℃ / -4℃,北风 4-5级 /西北风 3-4级,多云,晴,6,-4,北风 4-5级,西北风 3-4级,北风,4-5级,西北风,3-4级
2013年01月25日,晴 /晴,7℃ / -3℃,南风 3-4级 /南风 3-4级,晴,晴,7,-3,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年01月26日,晴 /晴,6℃ / -2℃,东风 3-4级 /北风 3-4级,晴,晴,6,-2,东风 3-4级,北风 3-4级,东风,3-4级,北风,3-4级
2013年01月27日,晴 /晴,8℃ / 0℃,东北风 3-4级 /南风 3-4级,晴,晴,8,0,东北风 3-4级,南风 3-4级,东北风,3-4级,南风,3-4级
2013年01月28日,多云 /多云,11℃ / 1℃,南风 3-4级 /南风 3-4级,多云,多云,11,1,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年01月29日,多云 /晴,13℃ / 4℃,南风 3-4级 /南风 3-4级,多云,晴,13,4,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年01月30日,多云 /阴,14℃ / 7℃,南风 3-4级 /东南风 3-4级,多云,阴,14,7,南风 3-4级,东南风 3-4级,南风,3-4级,东南风,3-4级
2013年01月31日,中雨 /小到中雨,11℃ / 4℃,东南风 4-5级 /南风 3-4级,中雨,小到中雨,11,4,东南风 4-5级,南风 3-4级,东南风,4-5级,南风,3-4级
2013年02月01日,小雨 /多云,10℃ / 1℃,北风 3-4级 /北风 4-5级,小雨,多云,10,1,北风 3-4级,北风 4-5级,北风,3-4级,北风,4-5级
2013年02月02日,多云 /阴,9℃ / 2℃,北风 3-4级 /南风 3-4级,多云,阴,9,2,北风 3-4级,南风 3-4级,北风,3-4级,南风,3-4级
2013年02月03日,小雨 /小雨,9℃ / 4℃,东南风 3-4级 /东北风 3-4级,小雨,小雨,9,4,东南风 3-4级,东北风 3-4级,东南风,3-4级,东北风,3-4级
2013年02月04日,阴 /小雨,5℃ / 2℃,东北风 4-5级 /东北风 4-5级,阴,小雨,5,2,东北风 4-5级,东北风 4-5级,东北风,4-5级,东北风,4-5级
2013年02月05日,小雨 /阴,2℃ / 0℃,东北风 4-5级 /北风 3-4级,小雨,阴,2,0,东北风 4-5级,北风 3-4级,东北风,4-5级,北风,3-4级
2013年02月06日,多云 /阴,3℃ / -3℃,北风 3-4级 /北风 4-5级,多云,阴,3,-3,北风 3-4级,北风 4-5级,北风,3-4级,北风,4-5级
2013年02月07日,阴 /阴,0℃ / -5℃,北风 5-6级 /北风 5-6级,阴,阴,0,-5,北风 5-6级,北风 5-6级,北风,5-6级,北风,5-6级
2013年02月08日,小雪 /阴,0℃ / -7℃,北风 3-4级 /北风 3-4级,小雪,阴,0,-7,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年02月09日,多云 /多云,2℃ / -4℃,南风 3-4级 /南风 3-4级,多云,多云,2,-4,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年02月10日,多云 /多云,4℃ / -2℃,南风 3-4级 /东风 3-4级,多云,多云,4,-2,南风 3-4级,东风 3-4级,南风,3-4级,东风,3-4级
2013年02月11日,多云 /雨夹雪,5℃ / -2℃,无持续风向 ≤3级 /东北风 3-4级,多云,雨夹雪,5,-2,无持续风向 ≤3级,东北风 3-4级,无持续风向,≤3级,东北风,3-4级
2013年02月12日,阴 /多云,5℃ / 1℃,北风 3-4级 /东南风 3-4级,阴,多云,5,1,北风 3-4级,东南风 3-4级,北风,3-4级,东南风,3-4级
2013年02月13日,多云 /多云,7℃ / 0℃,东南风 3-4级 /东南风 3-4级,多云,多云,7,0,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年02月14日,小雨 /阴,7℃ / -1℃,东南风 3-4级 /东北风 3-4级,小雨,阴,7,-1,东南风 3-4级,东北风 3-4级,东南风,3-4级,东北风,3-4级
2013年02月15日,阴 /多云,6℃ / -1℃,北风 3-4级 /东北风 3-4级,阴,多云,6,-1,北风 3-4级,东北风 3-4级,北风,3-4级,东北风,3-4级
2013年02月16日,多云 /多云,7℃ / 2℃,东南风 3-4级 /南风 3-4级,多云,多云,7,2,东南风 3-4级,南风 3-4级,东南风,3-4级,南风,3-4级
2013年02月17日,小雨 /小雨,8℃ / 0℃,无持续风向 ≤3级 /北风 3-4级,小雨,小雨,8,0,无持续风向 ≤3级,北风 3-4级,无持续风向,≤3级,北风,3-4级
2013年02月18日,小雨 /中雪,4℃ / -3℃,北风 5-6级 /北风 5-6级,小雨,中雪,4,-3,北风 5-6级,北风 5-6级,北风,5-6级,北风,5-6级
2013年02月19日,阴 /多云,3℃ / -4℃,北风 3-4级 /东北风 3-4级,阴,多云,3,-4,北风 3-4级,东北风 3-4级,北风,3-4级,东北风,3-4级
2013年02月20日,晴 /晴,6℃ / -1℃,南风 3-4级 /东风 3-4级,晴,晴,6,-1,南风 3-4级,东风 3-4级,南风,3-4级,东风,3-4级
2013年02月21日,多云 /多云,10℃ / 1℃,东风 3-4级 /东风 3-4级,多云,多云,10,1,东风 3-4级,东风 3-4级,东风,3-4级,东风,3-4级
2013年02月22日,晴 /晴,11℃ / 3℃,南风 3-4级 /西北风 3-4级,晴,晴,11,3,南风 3-4级,西北风 3-4级,南风,3-4级,西北风,3-4级
2013年02月23日,晴 /晴,13℃ / 2℃,东风 3-4级 /东南风 3-4级,晴,晴,13,2,东风 3-4级,东南风 3-4级,东风,3-4级,东南风,3-4级
2013年02月24日,晴 /多云,13℃ / 4℃,东南风 3-4级 /东南风 3-4级,晴,多云,13,4,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年02月25日,多云 /阴,12℃ / 5℃,东南风 3-4级 /东南风 3-4级,多云,阴,12,5,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年02月26日,多云 /多云,13℃ / 5℃,东北风 3-4级 /东风 3-4级,多云,多云,13,5,东北风 3-4级,东风 3-4级,东北风,3-4级,东风,3-4级
2013年02月27日,多云 /多云,14℃ / 5℃,东风 3-4级 /南风 3-4级,多云,多云,14,5,东风 3-4级,南风 3-4级,东风,3-4级,南风,3-4级
2013年02月28日,小雨 /小雨,15℃ / 2℃,南风 3-4级 /北风 4-5级,小雨,小雨,15,2,南风 3-4级,北风 4-5级,南风,3-4级,北风,4-5级
2013年03月01日,多云 /多云,5℃ / -2℃,北风 4-5级 /北风 4-5级,多云,多云,5,-2,北风 4-5级,北风 4-5级,北风,4-5级,北风,4-5级
2013年03月02日,多云 /晴,7℃ / -1℃,北风 3-4级 /西风 3-4级,多云,晴,7,-1,北风 3-4级,西风 3-4级,北风,3-4级,西风,3-4级
2013年03月03日,晴 /晴,10℃ / 2℃,西风 3-4级 /西南风 3-4级,晴,晴,10,2,西风 3-4级,西南风 3-4级,西风,3-4级,西南风,3-4级
2013年03月04日,晴 /晴,14℃ / 4℃,西南风 3-4级 /北风 3-4级,晴,晴,14,4,西南风 3-4级,北风 3-4级,西南风,3-4级,北风,3-4级
2013年03月05日,晴 /晴,18℃ / 7℃,南风 3-4级 /南风 3-4级,晴,晴,18,7,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年03月06日,晴 /多云,21℃ / 11℃,西南风 3-4级 /西南风 4-5级,晴,多云,21,11,西南风 3-4级,西南风 4-5级,西南风,3-4级,西南风,4-5级
2013年03月07日,晴 /晴,22℃ / 10℃,西北风 3-4级 /西南风 3-4级,晴,晴,22,10,西北风 3-4级,西南风 3-4级,西北风,3-4级,西南风,3-4级
2013年03月08日,晴 /晴,25℃ / 15℃,西南风 4-5级 /西南风 4-5级,晴,晴,25,15,西南风 4-5级,西南风 4-5级,西南风,4-5级,西南风,4-5级
2013年03月09日,晴 /多云,26℃ / 5℃,西南风 4-5级 /北风 4-5级,晴,多云,26,5,西南风 4-5级,北风 4-5级,西南风,4-5级,北风,4-5级
2013年03月10日,阴 /多云,8℃ / 0℃,北风 5-6级 /东北风 4-5级,阴,多云,8,0,北风 5-6级,东北风 4-5级,北风,5-6级,东北风,4-5级
2013年03月11日,多云 /阴,11℃ / 5℃,东风 3-4级 /东风 3-4级,多云,阴,11,5,东风 3-4级,东风 3-4级,东风,3-4级,东风,3-4级
2013年03月12日,中雨 /中雨,16℃ / 4℃,南风 3-4级 /北风 5-6级,中雨,中雨,16,4,南风 3-4级,北风 5-6级,南风,3-4级,北风,5-6级
2013年03月13日,多云 /晴,6℃ / -1℃,北风 5-6级 /北风 3-4级,多云,晴,6,-1,北风 5-6级,北风 3-4级,北风,5-6级,北风,3-4级
2013年03月14日,晴 /多云,8℃ / 2℃,东风 3-4级 /东风 3-4级,晴,多云,8,2,东风 3-4级,东风 3-4级,东风,3-4级,东风,3-4级
2013年03月15日,多云 /多云,13℃ / 5℃,东南风 3-4级 /东南风 3-4级,多云,多云,13,5,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年03月16日,多云 /小雨,15℃ / 8℃,南风 3-4级 /东南风 3-4级,多云,小雨,15,8,南风 3-4级,东南风 3-4级,南风,3-4级,东南风,3-4级
2013年03月17日,小雨 /小雨,11℃ / 8℃,东南风 3-4级 /北风 3-4级,小雨,小雨,11,8,东南风 3-4级,北风 3-4级,东南风,3-4级,北风,3-4级
2013年03月18日,晴 /多云,20℃ / 8℃,西南风 4-5级 /西南风 3-4级,晴,多云,20,8,西南风 4-5级,西南风 3-4级,西南风,4-5级,西南风,3-4级
2013年03月19日,多云 /阴,22℃ / 5℃,东南风 3-4级 /北风 4-5级,多云,阴,22,5,东南风 3-4级,北风 4-5级,东南风,3-4级,北风,4-5级
2013年03月20日,多云 /多云,10℃ / 0℃,东北风 4-5级 /北风 4-5级,多云,多云,10,0,东北风 4-5级,北风 4-5级,东北风,4-5级,北风,4-5级
2013年03月21日,晴 /多云,14℃ / 5℃,南风 3-4级 /南风 3-4级,晴,多云,14,5,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年03月22日,阴 /阴,12℃ / 5℃,南风 3-4级 /东北风 3-4级,阴,阴,12,5,南风 3-4级,东北风 3-4级,南风,3-4级,东北风,3-4级
2013年03月23日,小雨 /阴,10℃ / 5℃,东风 3-4级 /南风 3-4级,小雨,阴,10,5,东风 3-4级,南风 3-4级,东风,3-4级,南风,3-4级
2013年03月24日,阴 /多云,10℃ / 0℃,东北风 4-5级 /东北风 4-5级,阴,多云,10,0,东北风 4-5级,东北风 4-5级,东北风,4-5级,东北风,4-5级
2013年03月25日,晴 /阴,10℃ / 3℃,北风 3-4级 /东风 3-4级,晴,阴,10,3,北风 3-4级,东风 3-4级,北风,3-4级,东风,3-4级
2013年03月26日,多云 /多云,11℃ / 4℃,东南风 4-5级 /西南风 3-4级,多云,多云,11,4,东南风 4-5级,西南风 3-4级,东南风,4-5级,西南风,3-4级
2013年03月27日,晴 /多云,17℃ / 7℃,南风 3-4级 /东北风 4-5级,晴,多云,17,7,南风 3-4级,东北风 4-5级,南风,3-4级,东北风,4-5级
2013年03月28日,阴 /阴,14℃ / 5℃,东南风 3-4级 /东北风 4-5级,阴,阴,14,5,东南风 3-4级,东北风 4-5级,东南风,3-4级,东北风,4-5级
2013年03月29日,多云 /多云,12℃ / 4℃,东北风 4-5级 /东风 3-4级,多云,多云,12,4,东北风 4-5级,东风 3-4级,东北风,4-5级,东风,3-4级
2013年03月30日,阴 /晴,13℃ / 4℃,东南风 4-5级 /东风 3-4级,阴,晴,13,4,东南风 4-5级,东风 3-4级,东南风,4-5级,东风,3-4级
2013年03月31日,多云 /阴,15℃ / 4℃,东南风 3-4级 /东南风 3-4级,多云,阴,15,4,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年04月01日,多云 /阴,19℃ / 5℃,西南风 3-4级 /南风 3-4级,多云,阴,19,5,西南风 3-4级,南风 3-4级,西南风,3-4级,南风,3-4级
2013年04月02日,晴 /晴,14℃ / 3℃,南风 3-4级 /南风 3-4级,晴,晴,14,3,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年04月03日,多云 /多云,17℃ / 7℃,东南风 3-4级 /南风 3-4级,多云,多云,17,7,东南风 3-4级,南风 3-4级,东南风,3-4级,南风,3-4级
2013年04月04日,多云 /阴,19℃ / 11℃,东南风 3-4级 /东风 4-5级,多云,阴,19,11,东南风 3-4级,东风 4-5级,东南风,3-4级,东风,4-5级
2013年04月05日,小雨 /小雨,17℃ / 6℃,东风 3-4级 /北风 5-6级,小雨,小雨,17,6,东风 3-4级,北风 5-6级,东风,3-4级,北风,5-6级
2013年04月06日,多云 /晴,11℃ / 1℃,北风 5-6级 /北风 4-5级,多云,晴,11,1,北风 5-6级,北风 4-5级,北风,5-6级,北风,4-5级
2013年04月07日,晴 /多云,16℃ / 5℃,西南风 3-4级 /南风 3-4级,晴,多云,16,5,西南风 3-4级,南风 3-4级,西南风,3-4级,南风,3-4级
2013年04月08日,多云 /多云,19℃ / 4℃,西风 3-4级 /北风 4-5级,多云,多云,19,4,西风 3-4级,北风 4-5级,西风,3-4级,北风,4-5级
2013年04月09日,多云 /阴,14℃ / 3℃,西风 3-4级 /西北风 4-5级,多云,阴,14,3,西风 3-4级,西北风 4-5级,西风,3-4级,西北风,4-5级
2013年04月10日,多云 /晴,17℃ / 4℃,西南风 3-4级 /西风 3-4级,多云,晴,17,4,西南风 3-4级,西风 3-4级,西南风,3-4级,西风,3-4级
2013年04月11日,晴 /晴,19℃ / 5℃,西风 4-5级 /西南风 3-4级,晴,晴,19,5,西风 4-5级,西南风 3-4级,西风,4-5级,西南风,3-4级
2013年04月12日,晴 /晴,21℃ / 9℃,南风 3-4级 /西南风 3-4级,晴,晴,21,9,南风 3-4级,西南风 3-4级,南风,3-4级,西南风,3-4级
2013年04月13日,晴 /多云,26℃ / 9℃,西南风 4-5级 /西南风 4-5级,晴,多云,26,9,西南风 4-5级,西南风 4-5级,西南风,4-5级,西南风,4-5级
2013年04月14日,晴 /晴,15℃ / 8℃,南风 3-4级 /南风 3-4级,晴,晴,15,8,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年04月15日,晴 /多云,29℃ / 15℃,西南风 3-4级 /西南风 4-5级,晴,多云,29,15,西南风 3-4级,西南风 4-5级,西南风,3-4级,西南风,4-5级
2013年04月16日,阴 /多云,28℃ / 8℃,南风 3-4级 /东北风 4-5级,阴,多云,28,8,南风 3-4级,东北风 4-5级,南风,3-4级,东北风,4-5级
2013年04月17日,多云 /多云,20℃ / 8℃,东风 3-4级 /东风 3-4级,多云,多云,20,8,东风 3-4级,东风 3-4级,东风,3-4级,东风,3-4级
2013年04月18日,阴 /多云,15℃ / 5℃,东北风 5-6级 /东北风 5-6级,阴,多云,15,5,东北风 5-6级,东北风 5-6级,东北风,5-6级,东北风,5-6级
2013年04月19日,多云 /小雨,13℃ / 5℃,东北风 4-5级 /东北风 4-5级,多云,小雨,13,5,东北风 4-5级,东北风 4-5级,东北风,4-5级,东北风,4-5级
2013年04月20日,阴 /阴,10℃ / 3℃,东北风 4-5级 /东北风 4-5级,阴,阴,10,3,东北风 4-5级,东北风 4-5级,东北风,4-5级,东北风,4-5级
2013年04月21日,多云 /晴,15℃ / 3℃,东南风 3-4级 /东南风 3-4级,多云,晴,15,3,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年04月22日,多云 /小雨,17℃ / 10℃,东南风 4-5级 /东南风 3-4级,多云,小雨,17,10,东南风 4-5级,东南风 3-4级,东南风,4-5级,东南风,3-4级
2013年04月23日,阴 /多云,17℃ / 9℃,西北风 3-4级 /西北风 3-4级,阴,多云,17,9,西北风 3-4级,西北风 3-4级,西北风,3-4级,西北风,3-4级
2013年04月24日,晴 /晴,23℃ / 11℃,东北风 3-4级 /南风 3-4级,晴,晴,23,11,东北风 3-4级,南风 3-4级,东北风,3-4级,南风,3-4级
2013年04月25日,晴 /晴,23℃ / 8℃,北风 3-4级 /北风 3-4级,晴,晴,23,8,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年04月26日,晴 /晴,25℃ / 11℃,南风 3-4级 /西南风 3-4级,晴,晴,25,11,南风 3-4级,西南风 3-4级,南风,3-4级,西南风,3-4级
2013年04月27日,晴 /晴,28℃ / 14℃,南风 4-5级 /南风 4-5级,晴,晴,28,14,南风 4-5级,南风 4-5级,南风,4-5级,南风,4-5级
2013年04月28日,多云 /阴,29℃ / 16℃,南风 4-5级 /南风 4-5级,多云,阴,29,16,南风 4-5级,南风 4-5级,南风,4-5级,南风,4-5级
2013年04月29日,小雨 /阴,20℃ / 11℃,东北风 4-5级 /东北风 4-5级,小雨,阴,20,11,东北风 4-5级,东北风 4-5级,东北风,4-5级,东北风,4-5级
2013年04月30日,多云 /晴,23℃ / 10℃,北风 4-5级 /北风 3-4级,多云,晴,23,10,北风 4-5级,北风 3-4级,北风,4-5级,北风,3-4级
2013年05月01日,晴 /晴,24℃ / 8℃,北风 3-4级 /北风 3-4级,晴,晴,24,8,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年05月02日,晴 /多云,23℃ / 10℃,南风 3-4级 /东南风 3-4级,晴,多云,23,10,南风 3-4级,东南风 3-4级,南风,3-4级,东南风,3-4级
2013年05月03日,多云 /多云,23℃ / 10℃,东南风 3-4级 /东风 3-4级,多云,多云,23,10,东南风 3-4级,东风 3-4级,东南风,3-4级,东风,3-4级
2013年05月04日,多云 /多云,23℃ / 11℃,东北风 3-4级 /东南风 3-4级,多云,多云,23,11,东北风 3-4级,东南风 3-4级,东北风,3-4级,东南风,3-4级
2013年05月05日,多云 /多云,23℃ / 13℃,东南风 3-4级 /东南风 3-4级,多云,多云,23,13,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年05月06日,多云 /阴,23℃ / 14℃,东南风 3-4级 /东南风 3-4级,多云,阴,23,14,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年05月07日,阴 /阴,23℃ / 14℃,南风 3-4级 /东南风 4-5级,阴,阴,23,14,南风 3-4级,东南风 4-5级,南风,3-4级,东南风,4-5级
2013年05月08日,小雨 /小雨,19℃ / 15℃,东南风 4-5级 /东南风 4-5级,小雨,小雨,19,15,东南风 4-5级,东南风 4-5级,东南风,4-5级,东南风,4-5级
2013年05月09日,阴 /小雨,21℃ / 15℃,北风 3-4级 /西风 3-4级,阴,小雨,21,15,北风 3-4级,西风 3-4级,北风,3-4级,西风,3-4级
2013年05月10日,多云 /多云,27℃ / 14℃,西风 3-4级 /西风 3-4级,多云,多云,27,14,西风 3-4级,西风 3-4级,西风,3-4级,西风,3-4级
2013年05月11日,晴 /晴,28℃ / 16℃,西南风 3-4级 /西南风 3-4级,晴,晴,28,16,西南风 3-4级,西南风 3-4级,西南风,3-4级,西南风,3-4级
2013年05月12日,晴 /晴,30℃ / 18℃,西南风 3-4级 /南风 3-4级,晴,晴,30,18,西南风 3-4级,南风 3-4级,西南风,3-4级,南风,3-4级
2013年05月13日,晴 /晴,31℃ / 18℃,南风 3-4级 /南风 3-4级,晴,晴,31,18,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年05月14日,晴 /多云,31℃ / 17℃,南风 3-4级 /东风 4-5级,晴,多云,31,17,南风 3-4级,东风 4-5级,南风,3-4级,东风,4-5级
2013年05月15日,多云 /阴,23℃ / 17℃,东风 4-5级 /东风 4-5级,多云,阴,23,17,东风 4-5级,东风 4-5级,东风,4-5级,东风,4-5级
2013年05月16日,阴 /小雨,21℃ / 15℃,东北风 4-5级 /东北风 4-5级,阴,小雨,21,15,东北风 4-5级,东北风 4-5级,东北风,4-5级,东北风,4-5级
2013年05月17日,阴 /小雨,20℃ / 15℃,东北风 4-5级 /东南风 3-4级,阴,小雨,20,15,东北风 4-5级,东南风 3-4级,东北风,4-5级,东南风,3-4级
2013年05月18日,小雨 /阴,20℃ / 14℃,东南风 3-4级 /北风 3-4级,小雨,阴,20,14,东南风 3-4级,北风 3-4级,东南风,3-4级,北风,3-4级
2013年05月19日,多云 /多云,27℃ / 16℃,西南风 3-4级 /西南风 3-4级,多云,多云,27,16,西南风 3-4级,西南风 3-4级,西南风,3-4级,西南风,3-4级
2013年05月20日,多云 /晴,26℃ / 16℃,东风 3-4级 /东南风 3-4级,多云,晴,26,16,东风 3-4级,东南风 3-4级,东风,3-4级,东南风,3-4级
2013年05月21日,晴 /晴,31℃ / 18℃,南风 3-4级 /东南风 3-4级,晴,晴,31,18,南风 3-4级,东南风 3-4级,南风,3-4级,东南风,3-4级
2013年05月22日,晴 /晴,32℃ / 18℃,东南风 3-4级 /南风 3-4级,晴,晴,32,18,东南风 3-4级,南风 3-4级,东南风,3-4级,南风,3-4级
2013年05月23日,晴 /多云,30℃ / 17℃,南风 3-4级 /东南风 3-4级,晴,多云,30,17,南风 3-4级,东南风 3-4级,南风,3-4级,东南风,3-4级
2013年05月24日,多云 /阴,28℃ / 19℃,东南风 3-4级 /东南风 3-4级,多云,阴,28,19,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年05月25日,多云 /阴,28℃ / 20℃,东南风 3-4级 /东风 3-4级,多云,阴,28,20,东南风 3-4级,东风 3-4级,东南风,3-4级,东风,3-4级
2013年05月26日,大雨 /中雨,23℃ / 20℃,东南风 5-6级 /东风 5-6级,大雨,中雨,23,20,东南风 5-6级,东风 5-6级,东南风,5-6级,东风,5-6级
2013年05月27日,阴 /阴,25℃ / 17℃,南风 5-6级 /西北风 4-5级,阴,阴,25,17,南风 5-6级,西北风 4-5级,南风,5-6级,西北风,4-5级
2013年05月28日,阴 /阴,26℃ / 19℃,西南风 3-4级 /西北风 3-4级,阴,阴,26,19,西南风 3-4级,西北风 3-4级,西南风,3-4级,西北风,3-4级
2013年05月29日,阵雨 /小雨,25℃ / 16℃,西北风 3-4级 /北风 3-4级,阵雨,小雨,25,16,西北风 3-4级,北风 3-4级,西北风,3-4级,北风,3-4级
2013年05月30日,小雨 /小雨,22℃ / 16℃,南风 3-4级 /南风 3-4级,小雨,小雨,22,16,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年05月31日,小雨 /小雨,19℃ / 17℃,南风 3-4级 /南风 3-4级,小雨,小雨,19,17,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年06月01日,阴 /多云,23℃ / 18℃,东北风 3-4级 /东风 3-4级,阴,多云,23,18,东北风 3-4级,东风 3-4级,东北风,3-4级,东风,3-4级
2013年06月02日,多云 /晴,26℃ / 15℃,东北风 3-4级 /南风 3-4级,多云,晴,26,15,东北风 3-4级,南风 3-4级,东北风,3-4级,南风,3-4级
2013年06月03日,晴 /晴,29℃ / 17℃,南风 3-4级 /南风 3-4级,晴,晴,29,17,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年06月04日,多云 /晴,29℃ / 18℃,东南风 3-4级 /东南风 3-4级,多云,晴,29,18,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年06月05日,晴 /多云,29℃ / 20℃,东南风 3-4级 /东南风 3-4级,晴,多云,29,20,东南风 3-4级,东南风 3-4级,东南风,3-4级,东南风,3-4级
2013年06月06日,多云 /多云,28℃ / 21℃,东南风 3-4级 /东南风 4-5级,多云,多云,28,21,东南风 3-4级,东南风 4-5级,东南风,3-4级,东南风,4-5级
2013年06月07日,小雨 /小雨,23℃ / 18℃,东南风 4-5级 /东南风 5-6级,小雨,小雨,23,18,东南风 4-5级,东南风 5-6级,东南风,4-5级,东南风,5-6级
